1;0.207262
1.09167;0.369942
1.18333;-0.394986
1.275;-0.501702
1.36667;-0.47681
1.45833;-0.33119
1.55;-0.111414
1.64167;0.129828
1.73333;0.335494
1.825;0.454228
1.91667;0.447559
2.00833;0.29589
2.1;0.00176129
2.19167;-0.40989
2.28333;-0.894572
2.375;-1.39381
2.46667;-1.84272
2.55833;-2.17858
2.65;-2.34928
2.74167;-2.32051
2.83333;-2.08066
2.925;-1.64295
3.01667;-1.04425
3.10833;-0.340914
3.2;0.397947
3.29167;1.09882
3.38333;1.69275
3.475;2.12367
3.56667;2.35514
3.65833;2.37442
3.75;2.19361
3.84167;1.84755
3.93333;1.38881
4.025;0.880459
4.11667;0.38767
4.20833;-0.0309177
4.3;-0.330738
4.39167;-0.486859
4.48333;-0.496794
4.575;-0.380223
4.66667;-0.175668
4.75833;0.0653942
4.85;0.286194
4.94167;0.433043
5.03333;0.463288
5.125;0.351756
5.21667;0.09481
5.30833;-0.288549
5.4;-0.758698
5.49167;-1.26028
5.58333;-1.72933
5.675;-2.10168
5.76667;-2.32155
5.85833;-2.3492
5.95;-2.16641
6.04167;-1.78007
6.13333;-1.21924
6.225;-0.541816
6.31667;0.209219
6.40833;0.873187
